text,emotion,source_type,source_name
"Однажды папа получил особое задание – срочный санрейс. Нужно было забрать на отдаленной метеостанции женщину, которой предстояли сложные роды, и доставить ее в больницу. Начался буран, и пришлось идти на вынужденную посадку на льду замерзшей реки. Да еще у самолета сломалась лыжная стойка. Папа показывал мне рукой, как он садился на одну лыжу. Самолет катился по льду, будто делал ласточку. Теряя скорость, машина все хуже слушалась, и крыло без опоры нырнуло вниз, чиркнуло по льду, самолет резко развернулся, как вокруг ножки циркуля, и замер. Буран стал заносить их снегом, папа сделал под крылом что-то вроде пещеры, и они двое суток там просидели, пока их не нашли. Женщина все время кричала, а потом стала рожать, и папе пришлось принимать у нее роды.",neutral,book,pismovnik
"И еще – очень важное. Может быть, это из-за ожидания первого боя, не знаю, но я все здесь чувствую острее, и все кругом, весь мир со мной откровеннее, что ли, взрослее, мужественнее. Я все вижу по-другому, ярче, будто какая-то пелена спала с глаз, через которую смотрел на жизнь раньше. Все чувства напряжены, я слышу ночь кругом пронзительно – все шорохи, крики птиц, шуршание в траве. Звезды над головой ближе, крупнее. Будто я жил в каком-то ненастоящем мире, а теперь вот я начинаюсь – настоящий.",excitement,book,pismovnik
"Все стены исцарапаны осколками, много домов разрушено – обгоревшие руины, разбитые окна. На перекрестках улиц везде баррикады из тюков шерсти, фонарных столбов, кирпичей. Всюду валяется мебель, мусор, черепица. На улицах тишина, прохожих не видно, только патрули разных национальностей перед домами, обращенными в штабы, лазареты, склады.",neutral,book,pismovnik
"Пока тянулось занятие, вышла пройтись. Смотрю, трамвайные рельсы идут к невидимому гвоздику, на котором держится мир. И вдруг так отчетливо увидела: от всех предметов тянутся к той точке схода линии, будто нити. Вернее, будто туго натянутые резиночки. Вот всех когда-то разнесло – и столбы, и сугробы, и кусты, и трамвай, и меня, но не отпустило, удержало и теперь тянет обратно.",excitement,book,pismovnik
"На какое-то мгновение ему показалось, что все это уже когда-то было: точно так же сидел в этой комнате этот перемазанный чернилами мальчишка, который так напоминал его погибшего сына. Молоко на губах не обсохло, и женщины еще кажутся таинственными. Уже был вот этот давно остывший заварочный чайник с отбитым носиком. Все точно такое же, как тогда: вот эти обои в мелкий красный цветочек – как сыпь – будто заразились от сквозняка ветрянкой. Вот эта связка вяленой рыбы, что висит на шпингалете, продетая сквозь глаза. Вот этот прохожий, прошаркавший за окном, – оба кармана пиджака оттопырены бутылками. Вот эта вывеска напротив, на которой кто-то залепил грязью букву Б, и получилась ГАРНИЗОННАЯ АНЯ. Откуда-то из-за угла донесся детский треск прутиком по штакетнику.",disgust,book,pismovnik
"Посреди первого двора выстроена деревянная наблюдательная вышка. Я сегодня взобрался на самый верхний ярус, откуда открывался бы восхитительный вид, если бы не думать, что здесь кругом происходит. Прямо на север от арсенала виден Лутайский канал, по обоим берегам которого китайцы выстроили батареи. На западе – китайский Тяньцзинь и чуть дальше европейские концессии. На юго-запад от арсенала лежит наш лагерь. На юго-восток уходит в Тонгку железная дорога. На восток тянется необозримая равнина, поросшая гаоляном. Кое-где чернеются китайские деревеньки и рощи. Где-то далеко на севере и востоке в бинокль было видно движение китайских войск, по-видимому, подходивших из Лутая к Тяньцзиню.",neutral,book,pismovnik
"Сперва я хотел все сказать маме, но не сказал, а она и не спросила. А потом, когда спросила, было уже поздно признаваться, и я сказал, что ничего не знаю. Мама ужасно переживала и все не могла успокоиться – кто мог ее кольцо украсть? Она подозревала совершенно невинных людей. Я слышал, как она говорила со своим слепым, что это наверняка соседка, а потом решила, что это врач, которого они вызывали, когда у отчима была простуда.",neutral,book,pismovnik
"Мне кажется, у нас все получится. Иногда нам бывает так уютно вместе. Вот в последнее воскресенье укладываю ее, а она просит посидеть с ней еще в полумраке. Боится спать в темноте, умоляет оставить свет. Оставляю ей ночник, прикрытый газовой косынкой. Тени каждый раз другие. Она лежит и придумывает, кто это там, на потолке.",neutral,book,pismovnik
"Грею ей ножки и рассказываю, что есть такая страна, в которой живут люди с одной ногой, на которой они скачут быстрее двуногих, и у них настолько большая ступня, что прикрываются ею в зной от солнца, а еще там есть люди, которые живут только запахами плодов, и если отправляются в дальний путь, то берут с собой эти плоды и нюхают.",neutral,book,pismovnik
"В настоящем бою я еще не участвовал и противника вблизи не видел, вернее, видел только трупы. У солдат странная форма – синие куртки, поверх которых надеты безрукавки с красной каймой и золочеными пуговицами. А на спине и на груди круги из промасленной белой материи – на них черными иероглифами написано, к какой части солдат принадлежит, это заменяет им наши погоны. На ногах шаровары и суконные сапоги с толстыми войлочными подошвами. Но редко кто валяется в полном обмундировании – трупы чаще видишь полуголые. И у всех почему-то открыт рот. Проходишь мимо, и вздымаются тучи мух.",neutral,book,pismovnik
"Среди ночи проснулась и вспомнила, что сегодня на работу идти не надо и можно спокойно еще валяться в постели. И вот тут только почувствовала, как я устала за эти дни и недели. И годы. А за окном какое-то свечение. Выглянула – все в снегу. Легла опять, завернулась, как ты любишь, куколкой, и смотрела в дырочку на снегопад за окном. И так сладко потом снова заснула!",anger,book,pismovnik
"Когда отца не было, я жульничала: ставила на пюпитр поверх нот книгу и читала ее, играя бесконечные упражнения вслепую. Однажды он застал меня за этим занятием и ужасно ругался. Стал бегать по квартире и кричать, что мне слон на ухо наступил, и за что ему такое наказание. Сказал, что природа отдыхает на детях гениев. Я от этого начинала давиться слезами и играла еще хуже. Раньше он никогда на меня не кричал. Мне казалось, что моего папу подменили, что это не он. Не могла этого тогда понять. А он просто вошел в роль и никак не мог из нее выйти.",fear,book,pismovnik
"Они давно уже начали ругаться. Один раз Янка после скандала прибежала ко мне с мальчиками и осталась ночевать. Утром муж приехал просить прощения, звонил, стучал, грозился высадить дверь – Янка не хотела пускать, но дети завыли. Я отворила, он уже опять в ярости, что не хотели ему открывать. Снова крик. Бедные мальчишки! Они бросались с кулачками то на папу, то на маму. Кончилось все совершенно водевильной сценой примирения и отправлением семейства восвояси, а я осталась лежать с мигренью.",distress,book,pismovnik
"Ночами ворочаюсь на ветхом диване, а тот бормочет что-то на своем ветходиванном, полном шипящих. На кухне кран раззява. Купила новую подушку и мучаюсь – от нее несет чем-то куриным. И еще из форточки ночные крики, странные, нездешние, – живу теперь напротив зоопарка. Как соберусь пойти туда погулять – уже снова зима. Клетки пустые.",startle,book,pismovnik
"Толпа ворвалась на территорию миссии, и никто не успел убежать. Восставшие крестьяне нашли на кухне в буфете стеклянные банки с мариноваными луковками. Они стали показывать это всей деревне как доказательство злобы и вероломства европейцев – они приняли луковки за китайские глаза. Остановить их было уже невозможно – началась резня.",fear,book,pismovnik
"Ты знаешь, когда я пытался представить себе его мир, мне становилось не по себе. Жизнь слепого казалась мне жизнью землеройки, которая прорывает во тьме, плотной и тяжелой, как сырая глина, норки-туннели и бегает по ним. И все его черное пространство исчеркано такими ходами. И в одном из этих ходов – мы с мамой. Особенно по ночам он со своей слепотой забирался в мои мозги, и я не мог выскоблить его из своей головы, как ни пытался.",distress,book,pismovnik
"Еще опытным путем выяснили, что со временем какая-то петрушка. События могут выступать в любой последовательности и происходить с кем угодно. Можно одновременно на кухне зудеть на гребешке с папиросной бумагой так, что чешутся губы, и в то же время на совсем другой кухне читать письмо от человека, которого больше нет. Вот ты у зубного, тебе иголкой залезли в канал и дергают нерв, а через восемь столетий бахрома скатерти на сквозняке колыхнулась. И вообще, уже древними подмечено, что с годами прошлое не удаляется, а приближается. А часы все только и могут, что верещать, как кузнечики, показывают кто во что горазд, тогда как давно известно, что без десяти два.",neutral,book,pismovnik
"Одинокая, счастливая несмотря ни на что, глаза больные, красные, ночью не могла заснуть, все время задыхалась – нос заложен, спала с открытым ртом, просыпаясь от собственного храпа, ходит целыми днями с соплями и тяжелой головой, сморкается до разрыва ноздрей, платок сушит на батарее, и с каждым разом платок становится все жестче, берет его, а он похрустывает. Все видит и все про всех знает. Получила свою порцию счастья и просит добавки.",disgust,book,pismovnik
"Во всех брошенных домах уже похозяйничали солдаты союзных наций. К сожалению, не было ни одного отряда, солдаты которого не рылись бы в этих кучах всякого добра и сора. Никакого надзора в китайском квартале не было, да и не было никакой возможности или надобности в охране китайского добра, которое валялось по дворам и улицам.",disgust,book,pismovnik
"Представь себе – столько лет жить и думать об этой встрече. А теперь я не мог себе объяснить, чего я хочу. Зачем мне это нужно? Всю ночь в поезде я не сомкнул глаз. Я ведь не был наивным подростком, чтобы думать, что обрету наконец близкого мне человека, о котором столько мечтал. Я знал, что встречу кого-то чужого. И я ему совершенно не нужен. Ведь он бросил меня. И за все эти годы ни разу мною не поинтересовался. Может, и на порог не пустит. Чего же я хочу? Получить ту любовь, которой был лишен всю свою жизнь? Это невозможно. Ту часть жизни, когда он был мне по-настоящему нужен, я уже прожил без него. Может быть, я мститель? Еду отомстить негодяю, бросившему жену с маленьким ребенком? Выплеснуть накопившуюся ненависть? Справедливый гнев? Ведь кто-то должен наказать его за подлость? Ударить его по лицу? Унизить? Может, мне нужно было его раскаяние, просьбы о прощении?",startle,book,pismovnik
"Может, кто-то захочет что-то про нас узнать. Про то, что я сегодня видел. Про то, как шли допоздна и остаток ночи проспали на мокрой земле, не разбивая палаток. Все валились как попало. Дожди превратили глинистую дорогу в жидкое месиво. Обоз и передки орудий тонули по ступицы, и солдаты вытаскивали их на руках. Вытягивал сегодня ногу из жидкой глины и оставил там сапог.",excitement,book,pismovnik
"Наверно, чтобы стать настоящим, необходимо существовать в сознании не своем, которое так ненадежно, подвержено, например, сну, когда сам не знаешь, жив ты или нет, но в сознании другого человека. И не просто человека, а того, кому важно знать, что ты есть. Вот я знаю, Сашенька моя, что ты существуешь. А ты знаешь, что я есть. И это делает меня здесь, где все шиворот-навыворот, настоящим.",distress,book,pismovnik
"Одинокая, себе на уме, давно уже шатенка, без вредных привычек, ну, может, курю иногда, сама себе сестра, по гороскопу друидов – Горчичное Зерно, рост – уместится под мышкой, объема нет, глаза – озерки Есевонские, что у врат Батраббима. Вроде обеспеченная. Раньше работала в больнице за высоким кирпичным забором, утыканным сверху осколками стекла, чтобы царапать ветер. Там дети боялись не рака, а уколов – приходилось долго искать место на исколотой руке.",excitement,book,pismovnik
"Как радоваться настоящему, если оно ненужно и никчемно? И от всего тошнит – от обоев, от потолка, от занавесок, от города за окном, от всего этого не я. Тошнит от самого себя, такого же не я, как и все остальное. Тошнит от куцего, убогого прошлого, состоящего из глупостей и унижений. И особенно тошнит от будущего. Особенно от будущего – это ведь дорога в ту смрадную дырку в кладбищенской уборной.",disgust,book,pismovnik
"Да, здесь столько зла кругом, столько жестокости, грубой, бессмысленной, безобразной, но тем сильнее хватаешься за человеческое в себе и вокруг. Тем важнее сохранить в себе крупицы человечности. Вот у меня никогда толком не было друзей. А тут делишь с человеком, может быть, последние дни и часы своей жизни, и все тепло человеческое вливается в него, как в воронку.",anger,book,pismovnik
"Среди ночи проснулась и вспомнила, что сегодня на работу идти не надо и можно спокойно еще валяться в постели. И вот тут только почувствовала, как я устала за эти дни и недели. И годы. А за окном какое-то свечение. Выглянула – все в снегу. Легла опять, завернулась, как ты любишь, куколкой, и смотрела в дырочку на снегопад за окном. И так сладко потом снова заснула!",enjoyment,book,pismovnik
"Когда отца не было, я жульничала: ставила на пюпитр поверх нот книгу и читала ее, играя бесконечные упражнения вслепую. Однажды он застал меня за этим занятием и ужасно ругался. Стал бегать по квартире и кричать, что мне слон на ухо наступил, и за что ему такое наказание. Сказал, что природа отдыхает на детях гениев. Я от этого начинала давиться слезами и играла еще хуже. Раньше он никогда на меня не кричал. Мне казалось, что моего папу подменили, что это не он. Не могла этого тогда понять. А он просто вошел в роль и никак не мог из нее выйти.",shame,book,pismovnik
"Они давно уже начали ругаться. Один раз Янка после скандала прибежала ко мне с мальчиками и осталась ночевать. Утром муж приехал просить прощения, звонил, стучал, грозился высадить дверь – Янка не хотела пускать, но дети завыли. Я отворила, он уже опять в ярости, что не хотели ему открывать. Снова крик. Бедные мальчишки! Они бросались с кулачками то на папу, то на маму. Кончилось все совершенно водевильной сценой примирения и отправлением семейства восвояси, а я осталась лежать с мигренью.",startle,book,pismovnik
"Ночами ворочаюсь на ветхом диване, а тот бормочет что-то на своем ветходиванном, полном шипящих. На кухне кран раззява. Купила новую подушку и мучаюсь – от нее несет чем-то куриным. И еще из форточки ночные крики, странные, нездешние, – живу теперь напротив зоопарка. Как соберусь пойти туда погулять – уже снова зима. Клетки пустые.",neutral,book,pismovnik
"Толпа ворвалась на территорию миссии, и никто не успел убежать. Восставшие крестьяне нашли на кухне в буфете стеклянные банки с мариноваными луковками. Они стали показывать это всей деревне как доказательство злобы и вероломства европейцев – они приняли луковки за китайские глаза. Остановить их было уже невозможно – началась резня.",neutral,book,pismovnik
"Гуляли с Чартковым и его Сонечкой, она забавная такая – пожалела чей-то старый выброшенный ботинок, который не может больше ходить и должен смотреть все время на помойку, перетащила его на другое место, чтобы у него был вид на кусты сирени. Потом пришли в мастерскую, и она стала рисовать мой портрет в профиль: посадила боком к стене, направила на меня лампу, приложила лист бумаги и стала обводить карандашом тень.",excitement,book,pismovnik
"У нас тут хорошие новости. Ведь и здесь бывают хорошие новости! Представляешь, дипломатические миссии в Пекине еще держатся! Все думали, что люди те мертвы, а они живы. Оттуда прорвался посланный с письмом, сообщают, что они в осаде и ждут помощи. Несколько посланцев до него не дошли. Здесь готовится поход на Пекин, но сначала предстоит штурм укреплений Тяньцзиня. Нельзя оставлять китайскую армию у себя за спиной.",anger,book,pismovnik
"Мама от одиночества после ухода отца завела кошку, та исправно каждый год рожала, и мама отдавала котят бесплатно перекупщикам на птичьем рынке, лишь бы не губить. Она за последние годы сильно сдала, и каждый раз, когда я к ней приезжала, у нее только и было разговоров, что о кошке и о котятах. Она каждый раз уговаривала взять одного, я все отказывалась. А тут, после слонихи, согласилась. Все равно теперь напротив зоопарка живу, будет что-то вроде филиала.",distress,book,pismovnik
"Того же дня пополудни. Ветер тихий, ясно, высота бар. 30, 01 по тер. 13 1/2. Сего числа свезено на берег: ящик с амуницией – 1; бочек с мясом – 4; пеньки 25 пудов; муки ржаной 29 пудов; крупы 4 пуда; ящик с (неразборчиво) – 1; патронов 2160 штук, котлов чугунных 3; веревок 5 пуд. 20 ф.; листового железа 50 листов; невод 1; лошадь 1 и быков 2. В 12 ч. воды в трюме 24 дюйма.",neutral,book,pismovnik
"Мотор, несколько раз чихнув, выпускает сизый клуб дыма и набирает обороты. Из-под колес убраны колодки. Мы рулим на старт. Отмашка белого флажка стартера. Папа дает полный газ. От взбитых винтом вихрей самолет трепещет, трогается с места. Стремительный разбег, все быстрее и быстрее. На неровном поле машина размахивает крыльями на небольших кочках, как канатоходец руками для равновесия.",enjoyment,book,pismovnik
